key,source,target
/meta_crew_promotion_skills,<small>Combat skills</> <darksmall>improved</> ,<small>Боевые навыки</> <darksmall>улучшились</> 
/meta_crew_promotion_equipment,<small>{Equipment}</> <darksmall>available to use</>,<small>{Equipment}: </><darksmall>можно использовать</>
/meta_crew_promotion_perk,<small>{Perk}</> <darksmall>perk added</>,<darksmall>Получена способность:</> <small>{Perk}</>
/meta_crew_promotion_perk-upgrade,<small>{Perk}</> <darksmall>perk upgraded</>,<darksmall>Улучшена способность:</> <small>{Perk}</>
/meta_crew_promotion_hp,<small>{value}</> <darksmall>more health</>,<darksmall>Здоровье увеличено на</> <small>{value}</>
/meta_crew_heister_characterbio,About,Подробности
/meta_crew_assign_crew,Assign team,Назначить команду
/meta_crew_heister_purchasable,Available for hire,Доступно для найма
/meta_crew_generic_purchasable_title,Available for purchase,Доступно для покупки
/meta_crew_weapon_purchasable_title,Available for purchase,Доступно для покупки
/meta_crew_lobby_bosswarning,Baker selected,Бейкер выбран
/meta_crew_loadout_buymore,"Buy
More","Купить
еще"
/meta_crew_weapon_buyback,Buy-back!,Выкупить!
/hint_tuj_heisterswitch,Character switch,Смена персонажа
/hint_tuj_confirm,Confirm,Подтвердить
/hint_tuj_crouch,Crouching,Приседание
/hint_tuj_scream,Crowd control,Контроль гражданских
/hint_tuj_destroycamera,Destroying objects,Разрушение предметов
/meta_crew_heister_details,Detailed info,Подробная информация
/hint_tuj_cameracontroller,Disabling cameras,Отключение камер
/meta_crew_heister_fire,Dismiss character,Уволить персонажа
/hint_tut_dropping,Dropping objects,Бросить предмет
/meta_crew_tier_3,Elite character,Элитный персонаж
/hint_tuj_equipgundescription,"Equip your sidearm by pressing <action id=""MountSlot2""/>","Нажмите <action id=""MountSlot2""/>, чтобы снарядить дополнительное оружие"
/hint_tuj_escape,Escape,Эвакуация
/meta_crew_weapon_buyback_lastday,Expires in 1 mission!,Исчезнет через 1 задание!
/meta_crew_weapon_buyback_expire,"Expires in {count} {count}|plural(one=mission,other=missions)!","Исчезнет через {count} {count}|plural(one=задание,few=задания,other=заданий)!"
